No,Country or Area,ISO-alpha3 Code,M49 Code,Continent,Region 1,Region 2
166,Suriname,SUR,740,South America,South America,Latin America and the Caribbean
167,Sweden,SWE,752,Europe,Northern Europe,
168,Switzerland,CHE,756,Europe,Western Europe,
169,Syria,SYR,760,Asia,Western Asia,
170,Taiwan,,,Asia,Eastern Asia,
171,Tajikistan,TJK,762,Asia,Central Asia,
172,Thailand,THA,764,Asia,South-eastern Asia,
173,Timor-Leste,TLS,626,Asia,South-eastern Asia,
174,Togo,TGO,768,Africa,Western Africa,Sub-Saharan Africa
175,Tonga,TON,776,Oceania,Polynesia,
176,Tunisia,TUN,788,Africa,Northern Africa,
177,Turkey,TUR,792,Asia,Western Asia,
178,Turkmenistan,TKM,795,Asia,Central Asia,
179,Tuvalu,TUV,798,Oceania,Polynesia,
180,Uganda,UGA,800,Africa,Eastern Africa,Sub-Saharan Africa
181,Ukraine,UKR,804,Europe,Eastern Europe,
182,United Arab Emirates,ARE,784,Asia,Western Asia,
183,United Kingdom,GBR,826,Europe,Northern Europe,
184,United Republic of Tanzania,TZA,834,Africa,Eastern Africa,Sub-Saharan Africa
185,United States of America,USA,840,North America,Northern America,
186,Uruguay,URY,858,South America,South America,Latin America and the Caribbean
187,Uzbekistan,UZB,860,Asia,Central Asia,
188,Vanuatu,VUT,548,Oceania,Melanesia,
189,Venezuela (Bolivarian Republic of),VEN,862,South America,South America,Latin America and the Caribbean
190,Viet Nam,VNM,704,Asia,South-eastern Asia,
191,Western Sahara,ESH,732,Africa,Northern Africa,
192,Yemen,YEM,887,Asia,Western Asia,
193,Zambia,ZMB,894,Africa,Eastern Africa,Sub-Saharan Africa
194,Zimbabwe,ZWE,716,Africa,Eastern Africa,Sub-Saharan Africa
